"bairro","preco","area","suites","dormitorios","banheiros","vagas"
"vila-nova-conceicao","490000.0","32.0","1.0","1.0","1.0","1.0"
"vila-nova-conceicao","3180000.0","157.0","2.0","2.0","2.0","2.0"
"vila-nova-conceicao","1900000.0","205.0","2.0","3.0","3.0","3.0"
"vila-nova-conceicao","3565000.0","193.0","3.0","3.0","3.0","3.0"
"vila-nova-conceicao","1605000.0","116.0","1.0","3.0","2.0","2.0"
"vila-nova-conceicao","960000.0","67.0","1.0","2.0","2.0","2.0"
"vila-nova-conceicao","3750000.0","198.0","2.0","2.0","4.0","4.0"
"vila-nova-conceicao","1400000.0","130.0","1.0","3.0","3.0","1.0"
"vila-nova-conceicao","2200000.0","170.0","3.0","3.0","4.0","2.0"
"vila-nova-conceicao","6300000.0","293.0","3.0","3.0","3.0","5.0"
"vila-nova-conceicao","1400000.0","78.0","1.0","1.0","2.0","2.0"
"vila-nova-conceicao","4250000.0","150.0","2.0","2.0","3.0","4.0"
"vila-nova-conceicao","1250000.0","115.0","1.0","3.0","3.0","2.0"
"vila-nova-conceicao","3300000.0","190.0","3.0","3.0","4.0","3.0"
"vila-nova-conceicao","3000000.0","179.0","3.0","3.0","5.0","3.0"
"vila-nova-conceicao","1780000.0","168.0","1.0","2.0","2.0","2.0"
"vila-nova-conceicao","2100000.0","156.0","3.0","3.0","3.0","3.0"
"vila-nova-conceicao","3500000.0","158.0","3.0","4.0","5.0","3.0"
"vila-nova-conceicao","1490000.0","128.0","1.0","3.0","3.0","1.0"
"vila-nova-conceicao","2200000.0","170.0","2.0","3.0","2.0","2.0"
"vila-nova-conceicao","2000000.0","154.0","1.0","2.0","1.0","2.0"
"vila-nova-conceicao","730000.0","76.0","1.0","2.0","2.0","1.0"
"vila-nova-conceicao","2300000.0","184.0","2.0","2.0","2.0","3.0"
"vila-nova-conceicao","3500000.0","226.0","3.0","3.0","5.0","3.0"
"vila-nova-conceicao","850000.0","60.0","1.0","2.0","2.0","1.0"
"vila-nova-conceicao","780000.0","80.0","1.0","3.0","3.0","1.0"
"vila-nova-conceicao","765000.0","77.0","2.0","2.0","3.0","1.0"
"vila-nova-conceicao","2950000.0","196.0","3.0","4.0","4.0","3.0"
"vila-nova-conceicao","3500000.0","212.0","3.0","3.0","1.0","4.0"
"vila-nova-conceicao","2200000.0","140.0","1.0","2.0","1.0","3.0"
"vila-nova-conceicao","1940000.0","117.0","2.0","2.0","4.0","2.0"
"vila-nova-conceicao","4675000.0","192.0","4.0","4.0","4.0","4.0"
"vila-nova-conceicao","750000.0","70.0","1.0","2.0","2.0","1.0"
"vila-nova-conceicao","2200000.0","168.0","3.0","4.0","5.0","2.0"
"vila-nova-conceicao","450000.0","46.0","1.0","1.0","1.0","1.0"
"vila-nova-conceicao","4250000.0","222.0","3.0","3.0","2.0","4.0"
"vila-nova-conceicao","2950000.0","220.0","3.0","4.0","5.0","3.0"
"vila-nova-conceicao","1780000.0","168.0","1.0","2.0","2.0","2.0"
"vila-nova-conceicao","4580000.0","192.0","4.0","4.0","5.0","4.0"
"vila-nova-conceicao","1800000.0","159.0","3.0","3.0","3.0","2.0"
"vila-nova-conceicao","1300000.0","128.0","1.0","3.0","3.0","1.0"
"vila-nova-conceicao","1280000.0","105.0","1.0","3.0","3.0","2.0"
"vila-nova-conceicao","4675000.0","192.0","4.0","4.0","6.0","4.0"
"vila-nova-conceicao","3650000.0","237.0","3.0","4.0","4.0","3.0"
"vila-nova-conceicao","1000000.0","48.0","1.0","1.0","1.0","1.0"
"vila-nova-conceicao","3500000.0","277.0","2.0","4.0","6.0","3.0"
"vila-nova-conceicao","1350000.0","115.0","1.0","2.0","3.0","2.0"
"vila-nova-conceicao","660000.0","42.0","1.0","1.0","1.0","1.0"
"vila-nova-conceicao","1282000.0","73.0","1.0","2.0","1.0","1.0"
"vila-nova-conceicao","411500.0","57.0","1.0","2.0","1.0","1.0"
"vila-nova-conceicao","980000.0","85.0","1.0","3.0","3.0","1.0"
"vila-nova-conceicao","1544710.0","87.0","2.0","2.0","2.0","2.0"
"vila-nova-conceicao","2000000.0","165.0","3.0","4.0","4.0","3.0"
"vila-nova-conceicao","1950000.0","101.0","1.0","1.0","2.0","3.0"
"vila-nova-conceicao","1300000.0","103.0","1.0","3.0","2.0","2.0"
"vila-nova-conceicao","2200000.0","168.0","3.0","4.0","5.0","2.0"
