,age,sex,job,housing,savingAccount,checkingAccount,creditAmount,duration,purpose,risk
239,39,male,2,own,little,little,2522,30,radio/TV,good
304,44,male,2,free,quite rich,,10127,48,car,bad
964,22,male,1,own,little,moderate,454,6,repairs,good
102,24,female,2,own,little,,932,6,radio/TV,good
867,42,male,2,own,little,,3331,12,furniture/equipment,good
237,61,male,1,rent,moderate,moderate,2767,21,business,bad
253,35,male,2,own,moderate,,4151,24,furniture/equipment,good
215,39,female,1,own,,moderate,932,6,education,good
262,36,male,3,free,little,little,5302,18,car,good
633,19,female,2,rent,little,,1980,9,furniture/equipment,bad
822,41,male,2,own,little,little,2712,36,furniture/equipment,bad
70,30,female,2,own,little,,8133,36,car,good
735,29,female,0,own,,moderate,3990,36,domestic appliances,good
35,25,male,1,own,little,moderate,4746,45,radio/TV,bad
956,49,male,1,own,,rich,3656,30,radio/TV,good
521,24,female,2,own,little,little,3190,18,radio/TV,bad
98,36,male,2,own,little,moderate,2337,36,radio/TV,good
927,39,male,2,free,little,little,10297,48,car,bad
541,60,male,2,free,little,,2032,24,car,good
419,33,female,2,own,,moderate,1042,18,car,bad
179,65,male,2,own,little,little,571,21,car,good
615,48,male,3,own,,moderate,12204,48,business,good
164,36,male,2,own,quite rich,,909,36,car,good
321,32,male,2,own,little,little,1938,24,radio/TV,bad
773,52,male,2,own,moderate,,2223,24,radio/TV,good
899,42,male,2,own,little,little,4153,18,furniture/equipment,bad
705,35,female,2,free,quite rich,,5324,15,car,good
919,39,male,3,rent,little,little,3345,24,furniture/equipment,bad
580,30,male,2,own,little,moderate,1056,18,car,bad
340,24,female,2,free,little,moderate,5743,24,education,good
104,26,male,2,rent,,,2445,12,car,good
157,45,male,1,own,little,little,339,12,education,good
155,20,female,2,rent,little,little,1282,12,furniture/equipment,bad
55,26,male,1,own,,,783,6,car,good
522,53,male,2,free,little,little,7119,48,furniture/equipment,bad
74,40,male,3,own,,little,1977,36,education,bad
891,46,male,2,own,little,,1829,15,radio/TV,good
770,26,female,2,rent,,little,2812,24,car,good
238,35,female,2,own,little,,1291,12,radio/TV,good
67,22,male,2,own,rich,moderate,1007,12,car,good
363,21,male,2,rent,little,,1766,6,furniture/equipment,good
947,38,male,3,own,,,2859,12,car,good
214,51,male,2,own,,,3342,36,radio/TV,good
462,34,female,3,rent,little,moderate,3017,12,furniture/equipment,good
643,33,male,2,own,little,,1851,24,radio/TV,good
738,45,male,3,own,little,,6761,6,car,good
717,32,male,3,free,little,,1505,18,radio/TV,good
475,26,female,2,rent,little,little,3114,18,furniture/equipment,bad
645,27,male,2,rent,,,7980,36,business,bad
544,61,male,1,own,little,,1255,12,car,good
221,23,female,2,rent,,little,1200,12,education,good
146,39,female,2,own,little,little,860,6,car,good
766,31,male,1,own,little,little,3108,30,furniture/equipment,bad
623,22,female,2,rent,little,little,1858,12,furniture/equipment,good
922,22,female,2,rent,little,little,1366,9,radio/TV,bad
795,22,female,2,rent,moderate,,2301,9,furniture/equipment,good
65,48,male,2,own,,,5190,27,repairs,good
525,30,male,2,own,little,moderate,7966,26,car,good
290,26,male,2,own,little,,1076,12,business,good
405,22,male,2,own,little,moderate,2039,24,radio/TV,bad
285,35,female,1,own,little,little,10722,47,car,good
631,44,male,2,own,little,little,1553,18,furniture/equipment,bad
574,27,male,1,own,little,moderate,1082,9,radio/TV,good
816,62,male,2,own,quite rich,,1338,6,domestic appliances,good
906,24,male,1,own,,little,3763,21,car,good
280,23,male,2,rent,rich,,3368,15,car,good
254,24,male,2,own,,moderate,2030,9,furniture/equipment,good
629,64,male,1,own,,,3832,9,education,good
458,27,female,2,own,little,little,343,6,domestic appliances,good
357,26,male,3,own,little,,4463,36,radio/TV,bad
593,20,female,1,rent,little,moderate,2718,24,car,bad
472,28,male,1,own,little,little,654,9,car,bad
880,38,male,3,own,little,,7814,24,car,good
372,23,female,2,rent,little,,2146,10,furniture/equipment,good
406,43,male,2,own,,,2197,24,car,good
429,55,female,0,free,little,little,1190,18,repairs,bad
299,32,male,2,own,rich,moderate,2745,21,furniture/equipment,good
293,56,male,2,free,little,rich,4796,42,car,good
576,27,female,2,own,little,moderate,2930,12,radio/TV,good
211,45,female,1,own,,,3835,36,radio/TV,good
77,51,male,2,own,little,moderate,4771,11,radio/TV,good
512,26,male,2,rent,little,rich,2687,15,business,good
441,30,female,2,own,little,little,1620,12,furniture/equipment,good
504,24,female,2,rent,little,little,1207,24,car,bad
712,46,male,3,own,,,2476,21,car,good
162,36,male,2,own,quite rich,,1262,15,domestic appliances,good
716,40,male,2,own,,,3077,30,radio/TV,good
330,75,male,3,free,little,little,6615,24,car,good
684,31,male,1,own,moderate,moderate,9857,36,business,good
848,59,male,2,own,little,little,1364,9,radio/TV,good
303,49,male,2,own,little,little,1038,10,car,good
677,24,male,2,own,moderate,moderate,5595,72,radio/TV,bad
319,27,female,1,own,little,little,3643,15,furniture/equipment,good
402,27,male,2,own,little,,8648,24,business,bad
787,38,male,2,own,,,2751,48,car,good
127,30,male,2,own,little,moderate,639,12,repairs,bad
924,55,male,2,own,little,little,6872,24,furniture/equipment,bad
632,23,male,2,own,,moderate,1444,15,radio/TV,good
869,24,female,2,rent,little,little,652,12,furniture/equipment,good
11,24,female,2,rent,little,little,4308,48,business,bad
608,33,male,2,own,little,,2051,18,radio/TV,good
511,32,male,3,free,little,,4686,36,car,good
641,38,male,1,own,little,moderate,1308,15,repairs,good
