Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
us,b000g2nj,4,"Tuesday, April  9, 2013 00:32:24 UTC",-5.7169,-80.2397,4.2,36.20,20,"near the coast of northern Peru"
ci,11282066,0,"Tuesday, April  9, 2013 00:13:49 UTC",33.6188,-117.0878,1.3,17.50,11,"Southern California"
ci,11282058,0,"Tuesday, April  9, 2013 00:13:42 UTC",33.5708,-116.4057,1.2,15.60,28,"Southern California"
nn,00408828,1,"Monday, April  8, 2013 23:45:03 UTC",37.3521,-114.9634,2.7,10.30, 3,"Nevada"
nc,71968410,1,"Monday, April  8, 2013 23:39:20 UTC",38.8217,-122.8112,1.2,3.30,27,"Northern California"
ak,10690069,1,"Monday, April  8, 2013 23:17:06 UTC",64.9567,-147.4499,1.1,0.10,11,"Central Alaska"
ci,11282034,0,"Monday, April  8, 2013 23:11:39 UTC",33.7020,-115.4058,1.8,4.50,15,"Southern California"
nc,71968395,0,"Monday, April  8, 2013 23:10:27 UTC",38.8132,-122.8122,1.1,3.10,19,"Northern California"
ci,11282026,0,"Monday, April  8, 2013 23:09:13 UTC",33.2513,-115.5420,1.9,5.60,15,"Southern California"
nc,71968380,1,"Monday, April  8, 2013 22:42:07 UTC",36.6235,-121.2327,2.2,5.10,24,"Central California"
ci,11282018,0,"Monday, April  8, 2013 22:34:59 UTC",33.5038,-116.4560,1.3,4.90,32,"Southern California"
nc,71968375,0,"Monday, April  8, 2013 22:34:01 UTC",37.9063,-122.2838,1.8,4.40,19,"San Francisco Bay area, California"
ci,11282002,0,"Monday, April  8, 2013 22:29:07 UTC",33.5087,-116.4603,1.4,8.00,44,"Southern California"
ak,10690044,1,"Monday, April  8, 2013 22:07:06 UTC",61.4878,-149.8445,2.2,31.50,27,"Southern Alaska"
uw,60515857,1,"Monday, April  8, 2013 21:56:53 UTC",45.7895,-119.8632,1.8,0.00, 7,"Oregon"
ci,11281986,0,"Monday, April  8, 2013 21:36:21 UTC",34.2638,-118.4967,1.9,7.70,25,"Greater Los Angeles area, California"
us,b000g2i6,9,"Monday, April  8, 2013 21:22:03 UTC",12.6685,-90.6762,4.3,61.20,49,"off the coast of Guatemala"
uw,60515822,1,"Monday, April  8, 2013 21:13:16 UTC",49.4587,-120.5418,2.3,0.00,11,"British Columbia, Canada"
ak,10690017,1,"Monday, April  8, 2013 21:04:24 UTC",64.8796,-149.2347,2.5,23.00,13,"Central Alaska"
ak,10690007,1,"Monday, April  8, 2013 20:36:04 UTC",64.7292,-150.7637,1.6,4.20, 8,"Central Alaska"
ci,11281962,0,"Monday, April  8, 2013 20:17:13 UTC",33.4942,-116.4402,1.5,4.90,42,"Southern California"
uu,60018437,2,"Monday, April  8, 2013 19:59:53 UTC",44.2377,-110.7992,1.4,5.50,10,"Yellowstone National Park, Wyoming"
ci,11281946,0,"Monday, April  8, 2013 19:46:16 UTC",34.6250,-117.0963,1.8,0.10,34,"Southern California"
ci,11281938,0,"Monday, April  8, 2013 19:39:36 UTC",35.6368,-118.4223,1.7,10.20,13,"Central California"
ak,10689955,1,"Monday, April  8, 2013 19:25:05 UTC",59.8442,-153.0880,2.8,101.00,18,"Southern Alaska"
nc,71968340,1,"Monday, April  8, 2013 19:18:25 UTC",38.8258,-122.8520,1.5,2.30,28,"Northern California"
ci,11281914,0,"Monday, April  8, 2013 18:56:34 UTC",34.1098,-117.1920,1.5,5.20,19,"Greater Los Angeles area, California"
us,b000g2b9,9,"Monday, April  8, 2013 18:53:43 UTC",-7.1508,106.0700,5.6,46.70,107,"Java, Indonesia"
ak,10689931,1,"Monday, April  8, 2013 18:45:05 UTC",64.2579,-149.9541,1.2,22.90, 8,"Central Alaska"
nn,00408752,1,"Monday, April  8, 2013 18:18:04 UTC",37.3854,-114.9607,3.4,12.00, 5,"Nevada"
uw,60515717,3,"Monday, April  8, 2013 17:35:37 UTC",47.8830,-121.6567,1.0,7.70, 7,"Washington"
nc,71968305,0,"Monday, April  8, 2013 17:32:06 UTC",38.8393,-122.8310,1.4,2.30,22,"Northern California"
nc,71968300,1,"Monday, April  8, 2013 17:28:16 UTC",38.7583,-122.7215,1.7,1.10,22,"Northern California"
ak,10689898,1,"Monday, April  8, 2013 17:24:28 UTC",63.2192,-150.4573,1.5,97.00,15,"Central Alaska"
ak,10689880,1,"Monday, April  8, 2013 16:47:48 UTC",63.7580,-148.8242,1.4,195.40, 6,"Central Alaska"
ak,10689868,1,"Monday, April  8, 2013 15:48:53 UTC",61.5850,-146.6003,1.8,18.50,18,"Southern Alaska"
us,2013ntah,2,"Monday, April  8, 2013 15:05:19 UTC",51.3542,156.7225,4.5,126.50,64,"Kamchatka Peninsula, Russia"
pr,13098002,0,"Monday, April  8, 2013 14:46:42 UTC",19.4368,-64.9085,3.3,81.00, 3,"Virgin Islands region"
ak,10689860,2,"Monday, April  8, 2013 14:36:36 UTC",52.1584,-174.2734,3.8,187.80,36,"Andreanof Islands, Aleutian Islands, Alaska"
ci,11281850,3,"Monday, April  8, 2013 14:22:51 UTC",34.7100,-116.2900,2.9,2.50,32,"Southern California"
nc,71968250,0,"Monday, April  8, 2013 14:20:39 UTC",37.4598,-121.7747,1.2,6.60, 8,"San Francisco Bay area, California"
uu,60018402,2,"Monday, April  8, 2013 14:16:16 UTC",39.4438,-111.2133,1.2,1.70,10,"Utah"
ak,10689855,1,"Monday, April  8, 2013 14:04:19 UTC",59.4125,-152.3019,1.8,29.60, 9,"Southern Alaska"
nc,71968245,1,"Monday, April  8, 2013 13:46:23 UTC",38.8372,-122.7742,1.5,2.40,30,"Northern California"
nc,71968235,0,"Monday, April  8, 2013 13:25:16 UTC",38.8265,-122.8053,1.0,3.10,21,"Northern California"
ci,11281842,0,"Monday, April  8, 2013 13:22:21 UTC",35.8842,-118.3500,2.3,1.70,31,"Central California"
ci,11281834,0,"Monday, April  8, 2013 13:15:44 UTC",33.1765,-115.7257,2.1,24.90,14,"Southern California"
ci,11281826,0,"Monday, April  8, 2013 12:58:47 UTC",33.6438,-116.8385,1.1,20.90,26,"Southern California"
ak,10689834,1,"Monday, April  8, 2013 12:39:44 UTC",59.2560,-152.6284,3.3,86.00,72,"Southern Alaska"
nc,71968225,1,"Monday, April  8, 2013 12:34:45 UTC",38.8218,-122.8057,1.1,3.10,22,"Northern California"
nc,71968210,0,"Monday, April  8, 2013 12:10:15 UTC",38.7897,-122.7623,1.0,1.60,13,"Northern California"
ci,11281810,0,"Monday, April  8, 2013 12:04:54 UTC",33.9580,-116.2655,1.4,9.50,21,"Southern California"
ak,10689818,1,"Monday, April  8, 2013 12:02:02 UTC",63.3666,-151.4459,1.3,14.20, 8,"Central Alaska"
ak,10689812,2,"Monday, April  8, 2013 11:57:21 UTC",63.4070,-151.3920,3.5,10.90,68,"Central Alaska"
ak,10689811,1,"Monday, April  8, 2013 11:55:46 UTC",61.4346,-149.6503,1.4,30.00, 8,"Southern Alaska"
ak,10689810,2,"Monday, April  8, 2013 11:44:18 UTC",57.3179,-155.6451,2.6,74.90,28,"Alaska Peninsula"
ak,10689807,1,"Monday, April  8, 2013 11:42:32 UTC",63.2138,-150.3727,1.6,107.60,17,"Central Alaska"
ak,10689800,1,"Monday, April  8, 2013 11:29:02 UTC",61.4566,-149.7507,1.7,32.30,12,"Southern Alaska"
ak,10689799,1,"Monday, April  8, 2013 11:26:26 UTC",63.4526,-147.7364,1.1,33.60, 5,"Central Alaska"
uw,60515647,1,"Monday, April  8, 2013 11:19:18 UTC",43.7445,-121.2432,1.0,0.70, 9,"Newberry Caldera area, Oregon"
ci,11281794,0,"Monday, April  8, 2013 11:18:07 UTC",33.5150,-116.4385,1.2,11.50,44,"Southern California"
ak,10689791,2,"Monday, April  8, 2013 11:12:14 UTC",61.4876,-149.9165,3.3,36.50,75,"Southern Alaska"
mb,28777,1,"Monday, April  8, 2013 10:52:49 UTC",46.5533,-112.4768,1.6,0.00,23,"western Montana"
ak,10689786,2,"Monday, April  8, 2013 10:45:10 UTC",51.3364,-178.1145,2.6,15.00,22,"Andreanof Islands, Aleutian Islands, Alaska"
nc,71968195,0,"Monday, April  8, 2013 10:45:06 UTC",38.7577,-122.7000,1.1,0.10, 8,"Northern California"
ci,11281762,0,"Monday, April  8, 2013 09:55:19 UTC",33.0222,-115.9657,2.0,22.20,28,"Southern California"
