Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ak,10691300,1,"Thursday, April 11, 2013 01:22:51 UTC",62.4564,-151.2074,1.3,72.70, 9,"Central Alaska"
ak,10691296,1,"Thursday, April 11, 2013 01:16:00 UTC",63.2836,-152.2311,1.9,0.00,12,"Central Alaska"
ak,10691293,1,"Thursday, April 11, 2013 01:10:31 UTC",61.6432,-148.1015,1.8,10.50,15,"Southern Alaska"
nc,71969385,0,"Thursday, April 11, 2013 01:08:56 UTC",36.4118,-120.9945,1.4,6.10, 9,"Central California"
ak,10691283,1,"Thursday, April 11, 2013 00:44:34 UTC",61.1093,-149.7442,2.9,10.30,37,"Southern Alaska"
ak,10691272,1,"Thursday, April 11, 2013 00:29:10 UTC",63.2192,-151.4722,2.1,1.80,14,"Central Alaska"
ak,10691260,1,"Thursday, April 11, 2013 00:05:34 UTC",63.1884,-151.3586,1.4,13.00, 7,"Central Alaska"
ak,10691257,1,"Wednesday, April 10, 2013 23:57:58 UTC",62.6251,-151.2564,1.3,84.20, 9,"Central Alaska"
us,b000g4kr,5,"Wednesday, April 10, 2013 23:35:17 UTC",28.2821,51.6401,4.0,10.00,21,"southern Iran"
nc,71969335,1,"Wednesday, April 10, 2013 23:26:36 UTC",38.8265,-122.8490,2.4,2.30,48,"Northern California"
ci,11282930,0,"Wednesday, April 10, 2013 23:03:15 UTC",33.8025,-116.0942,1.3,3.60,36,"Southern California"
ak,10691226,1,"Wednesday, April 10, 2013 22:56:17 UTC",61.0244,-150.8550,1.6,14.70, 7,"Southern Alaska"
us,b000g4jj,6,"Wednesday, April 10, 2013 22:53:53 UTC",20.8474,122.0583,4.3,14.40,27,"Batan Islands region, Philippines"
ak,10691218,1,"Wednesday, April 10, 2013 22:47:14 UTC",63.4048,-147.6506,1.5,0.00,16,"Central Alaska"
ci,11282914,0,"Wednesday, April 10, 2013 22:42:02 UTC",34.3088,-116.4620,1.3,6.50,19,"Southern California"
us,b000g4i5,4,"Wednesday, April 10, 2013 22:05:52 UTC",18.8540,97.5096,4.7,8.30,29,"Myanmar-Thailand border region"
ak,10691147,1,"Wednesday, April 10, 2013 21:52:51 UTC",64.5503,-149.9552,1.7,0.20,15,"Central Alaska"
ak,10691072,1,"Wednesday, April 10, 2013 21:34:25 UTC",64.9980,-147.3473,1.3,5.90, 9,"Central Alaska"
ci,11282882,0,"Wednesday, April 10, 2013 21:28:38 UTC",34.3362,-117.0562,1.3,0.00,11,"Southern California"
nc,71969270,2,"Wednesday, April 10, 2013 21:08:13 UTC",38.7792,-122.7533,1.0,0.40,29,"Northern California"
nc,71969240,3,"Wednesday, April 10, 2013 20:22:29 UTC",36.6185,-121.2255,2.0,5.20,47,"Central California"
us,b000g4ca,9,"Wednesday, April 10, 2013 20:20:26 UTC",20.8187,122.1203,5.8,4.20,115,"Batan Islands region, Philippines"
us,b000g4br,5,"Wednesday, April 10, 2013 19:59:29 UTC",2.6017,127.2174,5.0,66.00,60,"Molucca Sea"
ci,11282866,0,"Wednesday, April 10, 2013 19:57:02 UTC",34.3648,-117.6112,2.2,0.20,17,"Southern California"
ci,11282858,0,"Wednesday, April 10, 2013 19:35:38 UTC",33.4982,-116.4632,1.0,10.50,35,"Southern California"
ci,11282850,0,"Wednesday, April 10, 2013 19:32:40 UTC",34.7538,-117.6465,1.8,26.00,10,"Southern California"
ci,11282842,0,"Wednesday, April 10, 2013 19:31:00 UTC",33.1458,-117.0780,1.2,0.40,13,"San Diego County urban area, California"
us,b000g4a2,8,"Wednesday, April 10, 2013 19:14:02 UTC",15.5366,-87.2280,5.5,10.00,402,"Honduras"
ak,10690989,1,"Wednesday, April 10, 2013 19:12:54 UTC",64.0034,-149.0487,1.6,0.10,16,"Central Alaska"
ci,11282810,0,"Wednesday, April 10, 2013 18:35:48 UTC",33.2857,-115.7170,1.6,6.70,23,"Southern California"
ci,11282802,2,"Wednesday, April 10, 2013 18:17:02 UTC",31.8142,-115.0743,2.7,10.00, 5,"Baja California, Mexico"
ci,11282762,0,"Wednesday, April 10, 2013 17:46:03 UTC",33.7687,-117.3380,1.7,0.00,16,"Greater Los Angeles area, California"
ci,11282746,0,"Wednesday, April 10, 2013 17:08:54 UTC",34.4273,-117.5470,1.8,10.10,12,"Southern California"
ak,10690900,2,"Wednesday, April 10, 2013 17:08:08 UTC",51.5294,-177.9411,2.4,26.80,14,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10690895,1,"Wednesday, April 10, 2013 17:03:44 UTC",61.0876,-152.1930,2.0,3.40,14,"Southern Alaska"
us,2013nvax,6,"Wednesday, April 10, 2013 16:54:21 UTC",28.2450,51.6556,4.3,10.00,33,"southern Iran"
nc,71969140,1,"Wednesday, April 10, 2013 16:32:30 UTC",38.8367,-122.7747,1.6,2.20,27,"Northern California"
us,b000g43v,8,"Wednesday, April 10, 2013 16:20:21 UTC",-10.7302,-75.2622,5.2,99.60,264,"central Peru"
pr,13100001,0,"Wednesday, April 10, 2013 16:00:08 UTC",19.2250,-64.8078,2.5,70.00, 3,"Virgin Islands region"
ak,10690856,1,"Wednesday, April 10, 2013 15:32:49 UTC",63.5321,-147.3974,1.6,6.30,10,"Central Alaska"
uw,60516527,3,"Wednesday, April 10, 2013 15:32:29 UTC",48.0047,-122.9663,3.4,50.00,98,"Olympic Peninsula, Washington"
nn,00408954,1,"Wednesday, April 10, 2013 15:21:28 UTC",39.4503,-118.4507,1.6,12.30, 9,"Nevada"
ak,10690844,1,"Wednesday, April 10, 2013 14:56:39 UTC",62.9964,-150.0338,1.4,72.60, 8,"Central Alaska"
ci,11282730,0,"Wednesday, April 10, 2013 14:55:32 UTC",33.5080,-116.4730,1.2,9.80,47,"Southern California"
nm,041013a,A,"Wednesday, April 10, 2013 14:54:15 UTC",38.5706,-91.3263,2.3,0.10,13,"Missouri"
nc,71969105,3,"Wednesday, April 10, 2013 14:46:50 UTC",37.2990,-121.6752,2.0,6.00,71,"Northern California"
hv,60487951,2,"Wednesday, April 10, 2013 14:44:31 UTC",19.2948,-155.3842,2.2,3.70,16,"Island of Hawaii, Hawaii"
ak,10690837,1,"Wednesday, April 10, 2013 14:28:27 UTC",61.3474,-146.6261,1.4,57.00, 5,"Southern Alaska"
ci,11282714,0,"Wednesday, April 10, 2013 13:45:55 UTC",34.0265,-116.9203,1.2,13.60,30,"Southern California"
us,2013nvap,4,"Wednesday, April 10, 2013 13:04:29 UTC",-17.7569,167.7868,4.6,10.00,20,"Vanuatu"
